Original_x,Optimal_x,Cost,Objective,Runtime,Slack_income,slack_credit,Slack_ca,Slack_la
"[4.0, 1.0, 1.0, 3800000.0, 8200000.0, 4.0, 309.0, 10900000.0, 3900000.0, 10200000.0, 3300000.0]","[4.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 8.20000e+06 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0493743419647216,0.5,0.5,0.5,0.5
"[4.0, 0.0, 1.0, 1400000.0, 2900000.0, 6.0, 723.0, 3800000.0, 0.0, 4700000.0, 1600000.0]","[4.00000000e+00 0.00000000e+00 1.00000000e+00 3.49998401e+04
 2.90000000e+06 5.00000000e+00 5.99840109e+02 2.80000000e+06
 9.98401089e+01 9.99840109e+02 8.00000000e+05]",0.639564410778315,0.639564410778315,0.0549120903015136,0.159891102694578,0.159891102694578,0.159891102694578,0.159891102694578
"[5.0, 1.0, 0.0, 3200000.0, 7400000.0, 12.0, 583.0, 9400000.0, 5500000.0, 10600000.0, 3600000.0]","[5.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 7.40000e+06 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0449194908142089,0.5,0.5,0.5,0.5
"[5.0, 0.0, 0.0, 9000000.0, 18000000.0, 18.0, 509.0, 24600000.0, 5200000.0, 20000000.0, 6100000.0]","[5.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 1.80000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0471878051757812,0.5,0.5,0.5,0.5
"[4.0, 0.0, 1.0, 4900000.0, 10200000.0, 18.0, 370.0, 10900000.0, 2200000.0, 13700000.0, 6600000.0]","[4.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.02000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0385191440582275,0.5,0.5,0.5,0.5
"[1.0, 0.0, 1.0, 7700000.0, 16900000.0, 6.0, 621.0, 22600000.0, 7900000.0, 27400000.0, 10200000.0]","[1.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.69000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0552160739898681,0.5,0.5,0.5,0.5
"[3.0, 0.0, 0.0, 6300000.0, 13900000.0, 18.0, 748.0, 17700000.0, 8800000.0, 21700000.0, 8600000.0]","[3.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 1.39000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.044687271118164,0.5,0.5,0.5,0.5
"[0.0, 0.0, 1.0, 7500000.0, 16600000.0, 14.0, 440.0, 17200000.0, 14500000.0, 24100000.0, 10300000.0]","[0.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.66000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0587408542633056,0.5,0.5,0.5,0.5
"[5.0, 1.0, 1.0, 200000.0, 300000.0, 10.0, 704.0, 500000.0, 100000.0, 800000.0, 200000.0]","[5.00000000e+00 1.00000000e+00 1.00000000e+00 4.00005000e+04
 3.00000000e+05 5.00000000e+00 9.00000000e+02 2.80000000e+06
 2.22085298e+07 0.00000000e+00 8.00000000e+05]",22209430.338415289111674,22209430.338415289111674,0.0854964256286621,0.5,150,22208279.838415289111674,1000
"[0.0, 1.0, 1.0, 6800000.0, 15300000.0, 14.0, 699.0, 19900000.0, 2600000.0, 13900000.0, 8300000.0]","[0.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.53000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0647745132446289,0.5,0.5,0.5,0.5
"[4.0, 0.0, 1.0, 4700000.0, 9500000.0, 18.0, 876.0, 11800000.0, 6600000.0, 18000000.0, 4100000.0]","[4.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 9.50000e+06 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.1092426776885986,0.5,0.5,0.5,0.5
"[1.0, 0.0, 1.0, 8400000.0, 19700000.0, 6.0, 476.0, 24700000.0, 16500000.0, 31800000.0, 12100000.0]","[1.00000e+00 0.00000e+00 1.00000e+00 3.49995e+04 1.97000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.096435546875,0.5,0.5,0.5,0.5
"[3.0, 0.0, 0.0, 4700000.0, 10800000.0, 8.0, 527.0, 13300000.0, 3100000.0, 13600000.0, 4800000.0]","[3.00000e+00 0.00000e+00 0.00000e+00 3.49995e+04 1.08000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0668210983276367,0.5,0.5,0.5,0.5
"[4.0, 1.0, 1.0, 5900000.0, 15000000.0, 14.0, 626.0, 16400000.0, 4600000.0, 17600000.0, 8200000.0]","[4.00000e+00 1.00000e+00 1.00000e+00 3.49995e+04 1.50000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0741915702819824,0.5,0.5,0.5,0.5
"[5.0, 1.0, 0.0, 5000000.0, 10800000.0, 10.0, 345.0, 12300000.0, 5000000.0, 14100000.0, 6300000.0]","[5.00000e+00 1.00000e+00 0.00000e+00 3.49995e+04 1.08000e+07 5.00000e+00
 5.99500e+02 2.80000e+06 9.95000e+01 9.99500e+02 8.00000e+05]",2,2,0.0781972408294677,0.5,0.5,0.5,0.5
